,natureza_acidente,bairro,tipo,condicao_via,dia_da_semana,mes,ano,hora_bruta
166,1,9,9,1,6,1,2018,17
167,0,39,9,1,6,1,2018,18
168,1,58,9,1,6,1,2018,19
169,1,12,9,1,6,1,2018,19
170,0,6,9,1,6,1,2018,19
171,1,45,9,1,6,1,2018,20
172,0,23,9,1,6,1,2018,20
173,1,24,9,1,6,1,2018,23
174,1,78,9,1,0,1,2018,6
175,1,51,9,1,0,1,2018,7
176,1,66,9,1,0,1,2018,8
177,1,49,9,1,0,1,2018,8
178,1,49,13,1,0,1,2018,9
179,1,25,9,1,0,1,2018,9
180,0,49,3,1,0,1,2018,9
181,0,31,9,1,0,1,2018,10
182,1,69,9,1,0,1,2018,11
183,1,79,9,1,0,1,2018,11
184,1,78,9,1,0,1,2018,12
185,1,58,9,1,0,1,2018,12
186,1,24,9,1,0,1,2018,12
187,1,12,9,1,0,1,2018,13
188,1,34,9,1,0,1,2018,13
189,1,28,9,1,0,1,2018,14
190,1,23,9,1,0,1,2018,14
191,1,75,9,1,0,1,2018,14
192,1,49,9,1,0,1,2018,14
193,1,86,9,1,0,1,2018,14
194,1,64,9,1,0,1,2018,14
195,1,12,9,1,0,1,2018,14
196,1,92,9,1,0,1,2018,14
197,1,12,9,1,0,1,2018,15
198,1,58,9,1,0,1,2018,15
199,1,28,9,1,0,1,2018,16
200,1,13,9,1,0,1,2018,16
201,1,90,9,1,0,1,2018,16
202,0,19,9,1,0,1,2018,18
203,1,58,9,1,0,1,2018,18
204,1,1,9,1,0,1,2018,18
205,1,69,9,1,0,1,2018,20
206,0,90,3,1,0,1,2018,20
207,1,19,9,1,0,1,2018,22
208,1,58,9,1,0,1,2018,23
209,1,85,9,1,1,1,2018,6
210,1,39,9,1,1,1,2018,6
211,1,49,9,1,1,1,2018,7
212,0,49,9,1,1,1,2018,7
213,1,12,9,1,1,1,2018,8
214,0,22,9,1,1,1,2018,8
215,0,49,9,1,1,1,2018,8
216,1,49,9,1,1,1,2018,8
217,0,39,3,1,1,1,2018,8
218,0,25,9,1,1,1,2018,8
219,1,34,9,1,1,1,2018,8
220,1,78,9,1,1,1,2018,9
221,1,49,9,1,1,1,2018,11
222,1,85,9,1,1,1,2018,11
223,1,85,9,1,1,1,2018,11
224,1,69,9,1,1,1,2018,12
225,1,79,9,1,1,1,2018,12
226,0,6,10,1,1,1,2018,12
227,0,0,9,1,1,1,2018,12
228,1,22,9,1,1,1,2018,13
229,1,46,9,1,1,1,2018,13
230,1,9,9,1,1,1,2018,13
231,0,78,9,1,1,1,2018,16
232,0,12,9,1,1,1,2018,16
233,1,12,9,1,1,1,2018,17
234,1,13,9,1,1,1,2018,17
235,1,49,9,1,1,1,2018,18
236,0,23,9,1,1,1,2018,18
237,1,14,9,1,1,1,2018,19
238,0,32,9,1,1,1,2018,19
239,1,31,9,1,1,1,2018,20
240,0,23,9,1,1,1,2018,21
241,1,10,9,1,1,1,2018,22
242,1,43,6,1,2,1,2018,4
243,1,57,9,1,2,1,2018,7
244,1,78,9,1,2,1,2018,7
245,0,78,9,1,2,1,2018,7
246,1,37,9,1,2,1,2018,8
247,1,12,9,1,2,1,2018,8
248,1,73,9,1,2,1,2018,9
249,1,50,9,1,2,1,2018,9
250,1,40,9,1,2,1,2018,10
251,1,15,13,1,2,1,2018,11
252,1,34,9,1,2,1,2018,11
253,1,12,9,1,2,1,2018,11
254,0,23,3,1,2,1,2018,13
255,0,15,3,1,2,1,2018,13
256,1,49,9,1,2,1,2018,13
257,1,9,9,1,2,1,2018,14
258,1,49,9,1,2,1,2018,14
259,1,49,13,1,2,1,2018,14
260,1,37,9,1,2,1,2018,15
261,1,78,9,1,2,1,2018,15
262,1,92,9,1,2,1,2018,16
263,1,88,9,1,2,1,2018,17
264,1,13,9,1,2,1,2018,18
265,0,83,9,1,2,1,2018,18
266,1,58,9,1,2,1,2018,19
267,0,49,9,1,2,1,2018,19
268,1,90,6,1,3,1,2018,1
269,1,12,9,1,3,1,2018,3
270,0,24,9,1,3,1,2018,6
271,1,69,9,1,3,1,2018,7
272,1,42,9,1,3,1,2018,7
273,1,49,9,1,3,1,2018,7
274,0,8,10,1,3,1,2018,8
275,0,7,9,1,3,1,2018,8
276,1,3,9,1,3,1,2018,10
277,1,78,9,1,3,1,2018,10
278,1,78,6,1,3,1,2018,10
279,1,75,9,1,3,1,2018,11
280,1,46,9,1,3,1,2018,11
281,0,13,9,1,3,1,2018,12
282,1,40,9,1,3,1,2018,12
283,1,53,13,1,3,1,2018,12
284,1,47,9,1,3,1,2018,13
285,1,12,9,1,3,1,2018,13
286,0,50,9,1,3,1,2018,13
287,1,43,9,1,3,1,2018,14
288,1,12,9,1,3,1,2018,14
289,1,7,9,1,3,1,2018,15
290,1,11,9,1,3,1,2018,15
291,1,12,9,1,3,1,2018,15
292,0,49,9,1,3,1,2018,16
293,1,13,9,1,3,1,2018,16
294,1,12,9,1,3,1,2018,17
295,1,12,9,1,3,1,2018,18
296,1,50,9,1,3,1,2018,19
297,1,34,9,1,3,1,2018,19
298,1,23,9,1,3,1,2018,20
299,1,78,9,1,3,1,2018,21
300,0,90,9,1,3,1,2018,21
301,1,89,6,1,3,1,2018,23
302,2,49,9,1,4,1,2018,5
303,1,50,9,1,4,1,2018,6
304,1,87,9,1,4,1,2018,6
305,0,61,9,1,4,1,2018,6
306,0,22,9,1,4,1,2018,7
307,1,12,9,1,4,1,2018,7
308,1,13,9,1,4,1,2018,7
309,1,22,9,1,4,1,2018,7
310,1,25,9,1,4,1,2018,8
311,1,31,9,1,4,1,2018,10
312,1,40,9,1,4,1,2018,10
313,1,23,9,1,4,1,2018,11
314,1,13,9,1,4,1,2018,11
315,1,74,9,1,4,1,2018,11
316,1,59,9,1,4,1,2018,11
317,1,8,9,1,4,1,2018,12
318,1,4,2,1,4,1,2018,12
319,1,6,9,1,4,1,2018,12
320,1,50,9,1,4,1,2018,12
321,1,12,9,1,4,1,2018,12
